domain,topic_slug,topic_title,learning_unit_id,learning_unit_title,objective,track,depth,prerequisites,resource_role,provider,resource_title,resource_type,url,exactness,boundary_type,start_timestamp,end_timestamp,video_duration,section_start,section_end,estimated_minutes,estimate_confidence,verification_status,concepts_covered,practice_type,practice_quantity,practice_destination,practice_url,practice_minutes,project,revision_summary
CS Foundations,cf-filesystem-navigation,Filesystem navigation,cf-filesystem-navigation-core,Filesystem navigation,"Move around the filesystem with pwd, ls, and cd.",ALWAYS_ON,WORKING_KNOWLEDGE,cf-command-line,PRIMARY,MIT Missing Semester 2026,MIT Missing Semester 2026 — Introduction to the Shell,article,https://missing.csail.mit.edu/2026/course-shell/,EXACT,ARTICLE_SECTION,,,30,course-shell,course-shell,30,MEDIUM,VERIFIED_COVERAGE,pwd-ls-cd;relative-absolute,SELF_REFLECTION,3,,,6,File Organizer,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-linux-files,Files,cf-linux-files-core,Files,"Create, copy, move, and delete files from the terminal.",ALWAYS_ON,WORKING_KNOWLEDGE,cf-filesystem-navigation,PRIMARY,MIT Missing Semester 2026,MIT Missing Semester 2026 — Introduction to the Shell,article,https://missing.csail.mit.edu/2026/course-shell/,EXACT,ARTICLE_SECTION,,,30,course-shell,course-shell,30,MEDIUM,VERIFIED_COVERAGE,file-ops;file-rm-caution;file-executable,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-pipes,Pipes,cf-pipes-core,Pipes,Connect command output to another command with pipes.,ALWAYS_ON,WORKING_KNOWLEDGE,cf-linux-files,PRIMARY,MIT Missing Semester 2026,MIT Missing Semester 2026 — Introduction to the Shell,article,https://missing.csail.mit.edu/2026/course-shell/,EXACT,ARTICLE_SECTION,,,30,course-shell,course-shell,30,MEDIUM,VERIFIED_COVERAGE,pipe-stdout-stdin;pipe-pipeline,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-redirection,Redirection,cf-redirection-core,Redirection,"Redirect stdin, stdout, and stderr.",ALWAYS_ON,WORKING_KNOWLEDGE,cf-pipes,PRIMARY,MIT Missing Semester 2026,MIT Missing Semester 2026 — Introduction to the Shell,article,https://missing.csail.mit.edu/2026/course-shell/,EXACT,ARTICLE_SECTION,,,30,course-shell,course-shell,30,MEDIUM,VERIFIED_COVERAGE,redirect-operators;redirect-separate,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-grep,grep,cf-grep-core,grep,Search file contents with grep.,ALWAYS_ON,WORKING_KNOWLEDGE,cf-redirection,PRIMARY,MIT Missing Semester 2026,MIT Missing Semester 2026 — Introduction to the Shell,article,https://missing.csail.mit.edu/2026/course-shell/,EXACT,ARTICLE_SECTION,,,30,course-shell,course-shell,30,MEDIUM,VERIFIED_COVERAGE,grep-pattern;grep-pipeline,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-find,find,cf-find-core,find,Locate files by name or type.,ALWAYS_ON,WORKING_KNOWLEDGE,cf-grep,PRIMARY,MIT Missing Semester 2026,MIT Missing Semester 2026 — Introduction to the Shell,article,https://missing.csail.mit.edu/2026/course-shell/,EXACT,ARTICLE_SECTION,,,30,course-shell,course-shell,30,MEDIUM,VERIFIED_COVERAGE,find-walks;find-combined,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-linux-permissions,Permissions,cf-linux-permissions-core,Permissions,Inspect and reason about Unix permission bits.,ALWAYS_ON,WORKING_KNOWLEDGE,cf-find,PRIMARY,MIT Missing Semester 2026,MIT Missing Semester 2026 — Introduction to the Shell,article,https://missing.csail.mit.edu/2026/course-shell/,EXACT,ARTICLE_SECTION,,,30,course-shell,course-shell,30,MEDIUM,VERIFIED_COVERAGE,ls-l-chmod;perm-apply,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-linux-processes,Processes,cf-linux-processes-core,Processes,List and interpret running processes.,ALWAYS_ON,WORKING_KNOWLEDGE,cf-linux-permissions,PRIMARY,MIT Missing Semester 2026,MIT Missing Semester 2026 — Introduction to the Shell,article,https://missing.csail.mit.edu/2026/course-shell/,EXACT,ARTICLE_SECTION,,,30,course-shell,course-shell,30,MEDIUM,VERIFIED_COVERAGE,ps-lists;ps-man,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-package-management,Package management,cf-package-management-core,Package management,Explain why package managers exist.,ALWAYS_ON,WORKING_KNOWLEDGE,cf-linux-processes,PRIMARY,MIT Missing Semester 2026,MIT Missing Semester 2026 — Command-line Environment,article,https://missing.csail.mit.edu/2026/command-line-environment/,EXACT,ARTICLE_SECTION,,,30,command-line-environment,command-line-environment,30,MEDIUM,VERIFIED_COVERAGE,os-package-manager;package-apt-brew,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-linux-environment-variables,Environment variables,cf-linux-environment-variables-core,Environment variables,Read and set environment variables in the shell.,ALWAYS_ON,WORKING_KNOWLEDGE,cf-package-management,PRIMARY,MIT Missing Semester 2026,MIT Missing Semester 2026 — Command-line Environment,article,https://missing.csail.mit.edu/2026/command-line-environment/,EXACT,ARTICLE_SECTION,,,30,command-line-environment,command-line-environment,30,MEDIUM,VERIFIED_COVERAGE,export-printenv-path;env-customize,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-repository,Repository,cf-repository-core,Repository,Explain a Git repository as a project history.,ALWAYS_ON,WORKING_KNOWLEDGE,cf-linux-environment-variables,PRIMARY,Git,Pro Git — Getting a Git Repository,book,https://git-scm.com/book/en/v2/Git-Basics-Getting-a-Git-Repository,SEGMENT,BOOK_SECTION,,,60,Git-Basics-Getting-a-Git-Repository,Git-Basics-Getting-a-Git-Repository,60,LOW,VERIFIED_COVERAGE,repo-snapshots;repo-init-clone,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-commits,Commits,cf-commits-core,Commits,Create commits with a clear message.,ALWAYS_ON,WORKING_KNOWLEDGE,cf-repository,PRIMARY,Git,Pro Git — Recording Changes to the Repository,book,https://git-scm.com/book/en/v2/Git-Basics-Recording-Changes-to-the-Repository,SEGMENT,BOOK_SECTION,,,60,Git-Basics-Recording-Changes-to-the-Repository,Git-Basics-Recording-Changes-to-the-Repository,60,LOW,VERIFIED_COVERAGE,staging-snapshot;commits-record;staging-why,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-branches,Branches,cf-branches-core,Branches,Create and switch branches.,ALWAYS_ON,WORKING_KNOWLEDGE,cf-commits,PRIMARY,Git,Pro Git — Branches in a Nutshell,book,https://git-scm.com/book/en/v2/Git-Branching-Branches-in-a-Nutshell,SEGMENT,BOOK_SECTION,,,60,Git-Branching-Branches-in-a-Nutshell,Git-Branching-Branches-in-a-Nutshell,60,LOW,VERIFIED_COVERAGE,branch-pointer;branch-parallel,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-merge,Merge,cf-merge-core,Merge,Combine branches with merge.,ALWAYS_ON,WORKING_KNOWLEDGE,cf-branches,PRIMARY,Git,Pro Git — Basic Branching and Merging,book,https://git-scm.com/book/en/v2/Git-Branching-Basic-Branching-and-Merging,SEGMENT,BOOK_SECTION,,,60,Git-Branching-Basic-Branching-and-Merging,Git-Branching-Basic-Branching-and-Merging,60,LOW,VERIFIED_COVERAGE,merge-join;merge-ff-vs-commit,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-rebase,Rebase,cf-rebase-core,Rebase,Explain rebase vs merge conceptually.,ALWAYS_ON,WORKING_KNOWLEDGE,cf-merge,PRIMARY,Git,Pro Git — Rebasing,book,https://git-scm.com/book/en/v2/Git-Branching-Rebasing,SEGMENT,BOOK_SECTION,,,60,Git-Branching-Rebasing,Git-Branching-Rebasing,60,LOW,VERIFIED_COVERAGE,rebase-replay;rebase-not-shared,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-remote,Remote,cf-remote-core,Remote,Explain remotes as named copies of a repository.,ALWAYS_ON,WORKING_KNOWLEDGE,cf-rebase,PRIMARY,Git,Pro Git — Working with Remotes,book,https://git-scm.com/book/en/v2/Git-Basics-Working-with-Remotes,SEGMENT,BOOK_SECTION,,,60,Git-Basics-Working-with-Remotes,Git-Basics-Working-with-Remotes,60,LOW,VERIFIED_COVERAGE,remote-origin;remote-list,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-pull-push,Pull and push,cf-pull-push-core,Pull and push,Send and receive commits.,ALWAYS_ON,WORKING_KNOWLEDGE,cf-remote,PRIMARY,Git,Pro Git — Working with Remotes,book,https://git-scm.com/book/en/v2/Git-Basics-Working-with-Remotes,SEGMENT,BOOK_SECTION,,,60,Git-Basics-Working-with-Remotes,Git-Basics-Working-with-Remotes,60,LOW,VERIFIED_COVERAGE,fetch-download;pull-fetch-integrate;push-sends,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-conflicts,Conflicts,cf-conflicts-core,Conflicts,Recognize and resolve a simple merge conflict.,ALWAYS_ON,WORKING_KNOWLEDGE,cf-pull-push,PRIMARY,Git,Pro Git — Basic Branching and Merging (conflicts),book,https://git-scm.com/book/en/v2/Git-Branching-Basic-Branching-and-Merging,SEGMENT,BOOK_SECTION,,,60,Git-Branching-Basic-Branching-and-Merging,Git-Branching-Basic-Branching-and-Merging,60,LOW,VERIFIED_COVERAGE,conflict-same-lines;conflict-markers;conflict-progit,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-reset-revert,Reset and revert,cf-reset-revert-core,Reset and revert,"Contrast reset, revert, and restore.",ALWAYS_ON,WORKING_KNOWLEDGE,cf-conflicts,PRIMARY,Git,Pro Git — Undoing Things,book,https://git-scm.com/book/en/v2/Git-Basics-Undoing-Things,SEGMENT,BOOK_SECTION,,,60,Git-Basics-Undoing-Things,Git-Basics-Undoing-Things,60,LOW,VERIFIED_COVERAGE,reset-moves-pointer;revert-undo-commit;restore-files,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-cherry-pick,Cherry-pick,cf-cherry-pick-core,Cherry-pick,Apply one commit onto another branch.,ALWAYS_ON,WORKING_KNOWLEDGE,cf-reset-revert,PRIMARY,Git,git-cherry-pick documentation,documentation,https://git-scm.com/docs/git-cherry-pick,EXACT,ARTICLE_SECTION,,,25,git-cherry-pick,git-cherry-pick,25,MEDIUM,VERIFIED_COVERAGE,cherry-pick-copy;cherry-pick-doc,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-stash,Stash,cf-stash-core,Stash,Temporarily shelf uncommitted work.,ALWAYS_ON,WORKING_KNOWLEDGE,cf-cherry-pick,PRIMARY,Git,Pro Git — Stashing and Cleaning,book,https://git-scm.com/book/en/v2/Git-Tools-Stashing-and-Cleaning,SEGMENT,BOOK_SECTION,,,60,Git-Tools-Stashing-and-Cleaning,Git-Tools-Stashing-and-Cleaning,60,LOW,VERIFIED_COVERAGE,stash-dirty;stash-book,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-github-workflow,GitHub workflow,cf-github-workflow-core,GitHub workflow,"Use clone, branch, pull request conceptually.",ALWAYS_ON,WORKING_KNOWLEDGE,cf-stash,PRIMARY,GitHub,GitHub Docs — Hello World,documentation,https://docs.github.com/en/get-started/using-github/hello-world,EXACT,ARTICLE_SECTION,,,25,hello-world,hello-world,25,MEDIUM,VERIFIED_COVERAGE,github-fork-pr;github-remote-workflow,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-ide,IDE,cf-ide-core,IDE,"Use an IDE to open, edit, and run a small project.",ALWAYS_ON,WORKING_KNOWLEDGE,cf-github-workflow;cf-compiler,PRIMARY,GeeksforGeeks,GFG — Introduction to Integrated Development Environment,documentation,https://www.geeksforgeeks.org/introduction-to-integrated-development-environment/,EXACT,ARTICLE_SECTION,,,18,introduction-to-integrated-development-environment,introduction-to-integrated-development-environment,18,MEDIUM,VERIFIED_COVERAGE,ide-editor-debug;ide-vscode-example,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-dev-compiler,Compiler,cf-dev-compiler-core,Compiler,Invoke a compiler from the environment you will use for Java.,ALWAYS_ON,WORKING_KNOWLEDGE,cf-ide,PRIMARY,GeeksforGeeks,GFG — Introduction to Compilers,documentation,https://www.geeksforgeeks.org/introduction-to-compilers/,EXACT,ARTICLE_SECTION,,,18,introduction-to-compilers,introduction-to-compilers,18,MEDIUM,VERIFIED_COVERAGE,dev-compiler-toolchain;compiler-make-example,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
CS Foundations,cf-debugger,Debugger,cf-debugger-core,Debugger,Set a breakpoint and inspect a variable.,ALWAYS_ON,WORKING_KNOWLEDGE,cf-dev-compiler,PRIMARY,GeeksforGeeks,GFG — Debugging in Software Engineering,documentation,https://www.geeksforgeeks.org/debugging-in-software-engineering/,EXACT,ARTICLE_SECTION,,,18,debugging-in-software-engineering,debugging-in-software-engineering,18,MEDIUM,VERIFIED_COVERAGE,debugger-breakpoints;debugger-unix-gdb,SELF_REFLECTION,3,,,6,,1d→3d→7d→14d→30d adaptive
